SKU,TITLE,DESCRIPTION,WEIGHT,PRICE,CATEGORY,COLORE,TAGLIA,FREESHIPPING,GROUPBY,VISITURL,ENABLEBUYBUTTON,ENABLEVISITBUTTON,DISCOUNTEDPRICE
100_white_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo uomo hi-tech in carbonio/Carbon,WHITE,L/XL,NO,100,http://moluko.com,yes,no,20
100_white_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo uomo hi-tech in carbonio/Carbon,WHITE,S/M,NO,100,http://moluko.com,yes,no,20
100_white_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo uomo hi-tech in carbonio/Carbon,WHITE,XS,NO,100,http://moluko.com,yes,no,20
100_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo uomo hi-tech in carbonio/Carbon,BLACK,L/XL,NO,100,http://moluko.com,yes,no,20
100_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo uomo hi-tech in carbonio/Carbon,BLACK,S/M,NO,100,http://moluko.com,yes,no,20
100_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo uomo hi-tech in carbonio/Carbon,BLACK,XS,NO,100_white,http://moluko.com,yes,no,20
100D_white_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo donna hi-tech in carbonio/Carbon,WHITE,L/XL,NO,100D,http://moluko.com,yes,no,20
100D_white_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo donna hi-tech in carbonio/Carbon,WHITE,S/M,NO,100D,http://moluko.com,yes,no,20
100D_white_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo donna hi-tech in carbonio/Carbon,WHITE,XS,NO,100D,http://moluko.com,yes,no,20
100D_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - L/XL,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo donna hi-tech in carbonio/Carbon,BLACK,L/XL,NO,100D,http://moluko.com,yes,no,20
100D_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - S/M,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo donna hi-tech in carbonio/Carbon,BLACK,S/M,NO,100D,http://moluko.com,yes,no,20
100D_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech smanicata girocollo - XS,"Maglietta smanicata girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,33,Intimo donna hi-tech in carbonio/Carbon,BLACK,XS,NO,100D,http://moluko.com,yes,no,20
604_Nero_L.XL,Boxer - L/XL,"Boxer    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,23,Intimo uomo hi-tech,BLACK,L/XL,NO,604,http://moluko.com,yes,no,
604_Nero_S.M,Boxer - S/M,"Boxer    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,23,Intimo uomo hi-tech,BLACK,S/M,NO,604,http://moluko.com,yes,no,
604_Nero_XS,Boxer - XS,"Boxer    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,23,Intimo uomo hi-tech,BLACK,XS,NO,604,http://moluko.com,yes,no,
603_Nero_L.XL,Pantalone ¾ sottotuta - L/XL,"Pantalone ¾ sottotuta    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,35,Intimo uomo hi-tech,BLACK,L/XL,NO,603,http://moluko.com,yes,no,
603_Nero_S.M,Pantalone ¾ sottotuta - S/M,"Pantalone ¾ sottotuta    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,35,Intimo uomo hi-tech,BLACK,S/M,NO,603,http://moluko.com,yes,no,
603_Nero_XS,Pantalone ¾ sottotuta - XS,"Pantalone ¾ sottotuta    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,35,Intimo uomo hi-tech,BLACK,XS,NO,603,http://moluko.com,yes,no,
601_Nero_L.XL,Boxer Parigamba - L/XL,"Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo uomo hi-tech,BLACK,L/XL,NO,601,http://moluko.com,yes,no,
601_Nero_S.M,Boxer Parigamba - S/M,"Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo uomo hi-tech,BLACK,S/M,NO,601,http://moluko.com,yes,no,
601_Nero_XS,Boxer Parigamba - XS,"Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo uomo hi-tech,BLACK,XS,NO,601,http://moluko.com,yes,no,
600D_White_L,Slip Donna - L,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,WHITE,L,NO,600D,http://moluko.com,yes,no,
600D_White_M,Slip Donna - M,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,WHITE,M,NO,600D,http://moluko.com,yes,no,
600D_White_S,Slip Donna - S,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,WHITE,S,NO,600D,http://moluko.com,yes,no,
600D_Bicolor_L,Slip Donna - L,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BICOLOR,L,NO,600D,http://moluko.com,yes,no,
600D_Bicolor_M,Slip Donna - M,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BICOLOR,M,NO,600D,http://moluko.com,yes,no,
600D_Bicolor_S,Slip Donna - S,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BICOLOR,S,NO,600D,http://moluko.com,yes,no,
600D_Nero_L,Slip Donna - L,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BLACK,L,NO,600D,http://moluko.com,yes,no,
600D_Nero_M,Slip Donna - M,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BLACK,M,NO,600D,http://moluko.com,yes,no,
600D_Nero_S,Slip Donna - S,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BLACK,S,NO,600D,http://moluko.com,yes,no,
104_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,BLACK,L/XL,NO,104,http://moluko.com,yes,no,
104_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,BLACK,S/M,NO,104,http://moluko.com,yes,no,
104_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,BLACK,XS,NO,104,http://moluko.com,yes,no,
104_White_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,WHITE,L/XL,NO,104,http://moluko.com,yes,no,
104_White_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,WHITE,S/M,NO,104,http://moluko.com,yes,no,
104_White_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,WHITE,XS,NO,104,http://moluko.com,yes,no,
104D_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,BLACK,L/XL,NO,104D,http://moluko.com,yes,no,
104D_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,BLACK,S/M,NO,104D,http://moluko.com,yes,no,
104D_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,BLACK,XS,NO,104D,http://moluko.com,yes,no,
104D_White_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,WHITE,L/XL,NO,104D,http://moluko.com,yes,no,
104D_White_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,WHITE,S/M,NO,104D,http://moluko.com,yes,no,
104D_White_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - XS,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo donna hi-tech in carbonio/Carbon,WHITE,XS,NO,104D,http://moluko.com,yes,no,
103D_White_L,Top Donna - L,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,WHITE,L,NO,103D,http://moluko.com,yes,no,
103D_White_M,Top Donna - M,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,WHITE,M,NO,103D,http://moluko.com,yes,no,
103D_White_S,Top Donna - S,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,WHITE,S,NO,103D,http://moluko.com,yes,no,
103D_Bicolor_L,Top Donna - L,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BICOLOR,L,NO,103D,http://moluko.com,yes,no,
103D_Bicolor_M,Top Donna - M,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BICOLOR,M,NO,103D,http://moluko.com,yes,no,
103D_Bicolor_S,Top Donna - S,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BICOLOR,S,NO,103D,http://moluko.com,yes,no,
103D_Nero_L,Top Donna - L,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BLACK,L,NO,103D,http://moluko.com,yes,no,
103D_Nero_M,Top Donna - M,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BLACK,M,NO,103D,http://moluko.com,yes,no,
103D_Nero_S,Top Donna - S,"Top Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,26,Intimo donna hi-tech,BLACK,S,NO,103D,http://moluko.com,yes,no,
101_white_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,WHITE,L/XL,NO,101,http://moluko.com,yes,no,
101_white_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,WHITE,S/M,NO,101,http://moluko.com,yes,no,
101_white_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,WHITE,XS,NO,101,http://moluko.com,yes,no,
101_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,BLACK,L/XL,NO,101,http://moluko.com,yes,no,
101_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,BLACK,S/M,NO,101,http://moluko.com,yes,no,
101_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo uomo hi-tech in carbonio/Carbon,BLACK,XS,NO,101,http://moluko.com,yes,no,
101D_white_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,WHITE,L/XL,NO,101D,http://moluko.com,yes,no,
101D_white_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,WHITE,S/M,NO,101D,http://moluko.com,yes,no,
101D_white_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,WHITE,XS,NO,101D,http://moluko.com,yes,no,
101D_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - L/XL,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,BLACK,L/XL,NO,101D,http://moluko.com,yes,no,
101D_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - S/M,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,BLACK,S/M,NO,101D,http://moluko.com,yes,no,
101D_Nero_XS,Maglia intimo sportivo carbonio carbon sport underware hi tech manica corta girocollo - XS,"Maglietta manica corta girocollo   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,38.5,Intimo donna hi-tech in carbonio/Carbon,BLACK,XS,NO,101D,http://moluko.com,yes,no,
902_black_unica,Fascia - UNICA,"Fascia    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,8,Accessori unisex hi-tech,BLACK,UNICA,NO,,http://moluko.com,yes,no,
901_black_unica,Tube - UNICA,"Tube    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,16,Accessori unisex hi-tech,BLACK,UNICA,NO,,http://moluko.com,yes,no,
